fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time,f_2_fight_stat_id,f_2_fight_id,f_2_fighter_id,f_2_knockdowns,f_2_total_strikes_att,f_2_total_strikes_succ,f_2_sig_strikes_att,f_2_sig_strikes_succ,f_2_takedown_att,f_2_takedown_succ,f_2_submission_att,f_2_reversals,f_2_ctrl_time,f_2_event_id,f_2_referee,f_2_f_1,f_2_f_2,f_2_winner,f_2_num_rounds,f_2_title_fight,f_2_weight_class,f_2_gender,f_2_result,f_2_finish_time,f_2_fighter_height_cm,f_2_fighter_weight_lbs,f_2_fighter_reach_cm,f_2_fighter_stance,f_2_fighter_dob,f_2_fighter_w,f_2_fighter_l,f_2_fighter_d,f_2_fighter_nc_dq,f_2_cumulative_ctrl_time,f_2_cumulative_reversals,f_2_cumulative_submission_att,f_2_cumulative_takedown_succ,f_2_cumulative_takedown_att,f_2_cumulative_sig_strikes_att,f_2_cumulative_total_strikes_succ,f_2_cumulative_total_strikes_att,f_2_cumulative_knockdowns,f_2_avg_finish_time
9211,4606,2.0,0.0,147.0,93.0,112.0,59.0,0.0,0.0,1.0,0.0,0.0,442,5,2694.0,2.0,2694.0,3.0,0,0,0,1,300,170.18,155.0,177.8,0.0,31.97262149212868,13,1,0,0.0,0.0,0.0,1.0,0.0,0.0,112.0,93.0,147.0,0.0,300.0,9212.0,4606.0,2694.0,0.0,152.0,94.0,71.0,27.0,19.0,8.0,0.0,0.0,668.0,442.0,5.0,2694.0,2.0,2694.0,3.0,0.0,0.0,0.0,1.0,300.0,175.26,155.0,182.88,0.0,38.33264887063656,5.0,1.0,0.0,0.0,668.0,0.0,0.0,8.0,19.0,71.0,94.0,152.0,0.0,300.0
5744,2872,7.0,0.0,116.0,93.0,60.0,40.0,3.0,3.0,3.0,0.0,417.0,291,4,7.0,1440.0,7.0,3.0,0,7,1,0,81,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,770.0,2.0,4.0,4.0,4.0,102.0,200.0,236.0,0.0,128.0,5745.0,2873.0,960.0,2.0,93.0,51.0,80.0,39.0,4.0,3.0,0.0,0.0,126.0,291.0,121.0,2254.0,960.0,960.0,3.0,0.0,5.0,0.0,0.0,58.0,182.88,185.0,185.42,1.0,46.90212183436002,13.0,5.0,0.0,0.0,636.0,0.0,0.0,10.0,22.0,338.0,265.0,415.0,4.0,150.4
9266,4633,7.0,0.0,123.0,94.0,57.0,33.0,10.0,6.0,0.0,0.0,534.0,444,112,7.0,1070.0,7.0,3.0,0,7,1,1,300,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,1866.0,4.0,4.0,13.0,20.0,289.0,394.0,525.0,0.0,195.0,9267.0,4634.0,1727.0,1.0,27.0,17.0,27.0,17.0,0.0,0.0,0.0,0.0,26.0,444.0,4.0,2305.0,1727.0,1727.0,3.0,0.0,1.0,0.0,0.0,172.0,167.64,145.0,167.64,0.0,38.899383983572896,18.0,5.0,0.0,0.0,1737.0,0.0,2.0,24.0,52.0,707.0,413.0,773.0,7.0,194.23076923076923
12050,6025,11.0,0.0,125.0,43.0,121.0,39.0,0.0,0.0,0.0,0.0,0.0,565,43,11.0,268.0,11.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,218.0,2.0,0.0,1.0,9.0,241.0,167.0,319.0,0.0,300.0,12051.0,6026.0,1232.0,0.0,124.0,102.0,68.0,49.0,1.0,1.0,2.0,0.0,477.0,565.0,0.0,2511.0,1232.0,1232.0,3.0,0.0,1.0,0.0,1.0,300.0,177.8,145.0,177.8,0.0,33.82340862422998,19.0,11.0,0.0,0.0,1486.0,1.0,4.0,10.0,27.0,937.0,496.0,1099.0,1.0,265.1666666666667
13320,6660,11.0,0.0,162.0,111.0,108.0,60.0,7.0,3.0,0.0,1.0,408.0,618,9,11.0,2998.0,11.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,630.0,3.0,0.0,4.0,16.0,350.0,279.0,482.0,0.0,266.2,13321.0,6661.0,2650.0,1.0,181.0,72.0,173.0,64.0,3.0,2.0,0.0,0.0,35.0,618.0,6.0,1896.0,2650.0,2650.0,3.0,0.0,0.0,0.0,1.0,300.0,177.8,155.0,182.88,1.0,28.591375770020534,15.0,5.0,0.0,0.0,333.0,0.0,0.0,3.0,10.0,1445.0,711.0,1521.0,5.0,250.6
12124,6062,12.0,0.0,24.0,10.0,24.0,10.0,0.0,0.0,1.0,0.0,12.0,568,5,12.0,1019.0,12.0,3.0,0,9,0,2,122,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,68.0,0.0,1.0,3.0,14.0,275.0,157.0,300.0,0.0,240.66666666666663,12125.0,6063.0,438.0,1.0,155.0,88.0,150.0,84.0,0.0,0.0,0.0,0.0,9.0,568.0,6.0,4074.0,438.0,438.0,3.0,0.0,5.0,0.0,1.0,300.0,185.42,185.0,187.96,0.0,36.26009582477755,20.0,9.0,0.0,0.0,2522.0,2.0,0.0,16.0,59.0,1985.0,1065.0,2240.0,4.0,264.25
14106,7053,12.0,0.0,291.0,104.0,287.0,103.0,5.0,1.0,0.0,0.0,70.0,651,26,12.0,296.0,296.0,3.0,0,9,0,1,300,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,533.0,0.0,1.0,7.0,36.0,987.0,501.0,1074.0,0.0,266.2857142857143,14107.0,7054.0,1001.0,0.0,225.0,78.0,219.0,76.0,4.0,1.0,0.0,0.0,26.0,651.0,16.0,1049.0,1001.0,1049.0,3.0,0.0,2.0,1.0,1.0,300.0,165.1,115.0,160.02,0.0,28.856947296372347,12.0,8.0,0.0,0.0,3664.0,4.0,9.0,24.0,58.0,836.0,592.0,1087.0,0.0,244.7333333333333
6307,3154,13.0,0.0,112.0,12.0,108.0,9.0,6.0,1.0,0.0,0.0,39.0,317,153,395.0,13.0,13.0,3.0,0,9,0,1,300,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,276.0,2.0,0.0,1.0,6.0,175.0,119.0,264.0,0.0,300.0,6309.0,3155.0,3248.0,1.0,67.0,36.0,54.0,23.0,1.0,1.0,3.0,1.0,260.0,317.0,7.0,851.0,3248.0,3248.0,3.0,0.0,9.0,0.0,2.0,193.0,167.64,125.0,170.18,0.0,36.59958932238193,8.0,5.0,0.0,0.0,354.0,1.0,3.0,2.0,2.0,108.0,64.0,129.0,2.0,184.66666666666663
7750,3875,13.0,0.0,128.0,33.0,124.0,29.0,6.0,1.0,0.0,0.0,115.0,379,7,13.0,2103.0,2103.0,3.0,0,9,0,1,300,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,393.0,2.0,0.0,2.0,12.0,305.0,153.0,398.0,0.0,236.0,7751.0,3876.0,1469.0,0.0,137.0,66.0,107.0,46.0,1.0,0.0,0.0,0.0,168.0,379.0,38.0,263.0,1469.0,263.0,3.0,0.0,1.0,0.0,1.0,300.0,162.56,145.0,162.56,1.0,42.27515400410677,5.0,4.0,1.0,0.0,711.0,0.0,1.0,4.0,8.0,351.0,251.0,481.0,0.0,299.75
9582,4791,16.0,0.0,79.0,63.0,58.0,45.0,3.0,1.0,2.0,0.0,150.0,457,39,16.0,4082.0,16.0,3.0,0,2,1,2,221,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,198.0,0.0,2.0,2.0,5.0,252.0,146.0,279.0,0.0,260.5,9583.0,4792.0,3373.0,1.0,167.0,108.0,157.0,98.0,0.0,0.0,0.0,0.0,12.0,457.0,14.0,2491.0,3373.0,3373.0,3.0,0.0,10.0,0.0,1.0,300.0,180.34,205.0,193.04,0.0,42.32443531827516,9.0,4.0,0.0,0.0,51.0,0.0,0.0,0.0,3.0,316.0,193.0,336.0,1.0,256.0
