fight_stat_id,fight_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
9211,4606,2.0,5,2694.0,2.0,2694.0,3.0,0,0,0,170.18,155.0,177.8,0.0,31.972621492128678,13,1,0,0.0,0.0,0.0,1.0,0.0,0.0,112.0,93.0,147.0,0.0,300.0
4455,2228,7.0,147,442.0,7.0,7.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,353.0,2.0,1.0,1.0,1.0,42.0,107.0,120.0,0.0,175.0
5744,2872,7.0,4,7.0,1440.0,7.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,770.0,2.0,4.0,4.0,4.0,102.0,200.0,236.0,0.0,128.0
6145,3073,7.0,121,934.0,7.0,934.0,5.0,1,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,773.0,2.0,4.0,4.0,4.0,103.0,200.0,237.0,0.0,90.0
7378,3689,7.0,0,7.0,1274.0,1274.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,1318.0,4.0,4.0,7.0,8.0,126.0,223.0,274.0,0.0,142.5
8960,4480,7.0,4,7.0,246.0,246.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,1332.0,4.0,4.0,7.0,10.0,232.0,300.0,402.0,0.0,174.0
9266,4633,7.0,112,7.0,1070.0,7.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,1866.0,4.0,4.0,13.0,20.0,289.0,394.0,525.0,0.0,195.0
9710,4855,7.0,6,7.0,3979.0,3979.0,3.0,0,12,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,1866.0,4.0,4.0,13.0,20.0,295.0,397.0,531.0,0.0,175.85714285714286
10403,5202,11.0,39,1929.0,11.0,1929.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,146.0,0.0,0.0,0.0,4.0,31.0,70.0,96.0,0.0,300.0
11419,5710,11.0,10,1573.0,11.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,218.0,2.0,0.0,1.0,9.0,120.0,124.0,194.0,0.0,300.0
12050,6025,11.0,43,11.0,268.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,218.0,2.0,0.0,1.0,9.0,241.0,167.0,319.0,0.0,300.0
11093,5547,12.0,55,1343.0,12.0,1343.0,3.0,0,9,0,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,29.0,0.0,0.0,2.0,11.0,119.0,73.0,126.0,0.0,300.0
11669,5835,12.0,4,4065.0,12.0,4065.0,3.0,0,9,0,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,56.0,0.0,0.0,3.0,14.0,251.0,147.0,276.0,0.0,300.0
12124,6062,12.0,5,12.0,1019.0,12.0,3.0,0,9,0,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,68.0,0.0,1.0,3.0,14.0,275.0,157.0,300.0,0.0,240.66666666666666
5612,2806,13.0,38,13.0,168.0,168.0,3.0,0,4,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,237.0,2.0,0.0,0.0,0.0,67.0,107.0,152.0,0.0,300.0
6307,3154,13.0,153,395.0,13.0,13.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,276.0,2.0,0.0,1.0,6.0,175.0,119.0,264.0,0.0,300.0
6818,3409,13.0,7,13.0,747.0,747.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,278.0,2.0,0.0,1.0,6.0,181.0,120.0,270.0,0.0,214.66666666666666
7750,3875,13.0,7,13.0,2103.0,2103.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,393.0,2.0,0.0,2.0,12.0,305.0,153.0,398.0,0.0,236.0
9331,4666,16.0,83,431.0,16.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,48.0,0.0,0.0,1.0,2.0,194.0,83.0,200.0,0.0,300.0
9582,4791,16.0,39,16.0,4082.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,198.0,0.0,2.0,2.0,5.0,252.0,146.0,279.0,0.0,260.5
9861,4931,16.0,5,375.0,16.0,16.0,3.0,0,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,478.0,1.0,2.0,4.0,13.0,394.0,264.0,483.0,0.0,273.6666666666667
10401,5201,16.0,55,3976.0,16.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,479.0,1.0,2.0,4.0,13.0,432.0,293.0,521.0,1.0,215.75
10894,5447,16.0,16,16.0,2396.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,553.0,1.0,2.0,5.0,21.0,840.0,463.0,934.0,1.0,232.6
11936,5968,16.0,16,16.0,1523.0,1523.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,553.0,1.0,2.0,5.0,21.0,851.0,470.0,945.0,1.0,206.83333333333334
5155,2578,17.0,28,196.0,17.0,17.0,3.0,1,3,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,209.0,0.0,2.0,4.0,10.0,25.0,37.0,60.0,0.0,300.0
5624,2812,17.0,45,17.0,1422.0,17.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,692.0,0.0,3.0,6.0,14.0,65.0,167.0,239.0,0.0,300.0
6028,3014,17.0,15,17.0,219.0,219.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,918.0,0.0,3.0,6.0,21.0,111.0,214.0,306.0,0.0,300.0
6316,3158,17.0,7,17.0,2362.0,2362.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,1069.0,0.0,3.0,7.0,23.0,158.0,265.0,387.0,0.0,300.0
3068,1534,18.0,38,18.0,1078.0,18.0,3.0,0,1,0,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,4.0,11.0,0.0,48.0
3426,1713,18.0,3,18.0,3103.0,3103.0,3.0,0,1,0,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,45.0,0.0,4.0,0.0,0.0,29.0,6.0,29.0,0.0,174.0
3692,1846,18.0,0,18.0,450.0,450.0,3.0,0,1,0,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,46.0,0.0,5.0,0.0,0.0,48.0,12.0,48.0,0.0,126.66666666666667
4140,2070,18.0,6,18.0,347.0,347.0,3.0,0,0,0,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,122.0,0.0,5.0,2.0,2.0,141.0,58.0,150.0,0.0,170.0
9293,4647,26.0,55,1004.0,26.0,1004.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,162.0,1.0,5.0,2.0,5.0,64.0,63.0,99.0,0.0,300.0
9589,4795,26.0,39,2029.0,26.0,2029.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,211.0,1.0,5.0,2.0,9.0,248.0,137.0,284.0,1.0,273.5
10619,5310,26.0,6,1434.0,26.0,26.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,211.0,1.0,7.0,2.0,9.0,259.0,162.0,318.0,1.0,239.0
11626,5813,26.0,4,26.0,3092.0,3092.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,337.0,1.0,7.0,3.0,10.0,373.0,276.0,508.0,1.0,254.25
12291,6146,26.0,4,1597.0,26.0,1597.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,376.0,1.0,7.0,4.0,12.0,578.0,367.0,718.0,1.0,263.4
6360,3180,30.0,67,30.0,3315.0,3315.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,36.0,1.0,0.0,0.0,2.0,131.0,61.0,135.0,0.0,300.0
7150,3575,30.0,3,30.0,4074.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,207.0,2.0,1.0,0.0,5.0,277.0,139.0,287.0,0.0,241.5
7617,3809,30.0,138,1531.0,30.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,283.0,2.0,3.0,1.0,6.0,397.0,184.0,418.0,0.0,261.0
8369,4185,30.0,48,2779.0,30.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,355.0,2.0,3.0,2.0,13.0,616.0,268.0,638.0,0.0,270.75
8556,4278,30.0,28,30.0,2721.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,507.0,2.0,3.0,2.0,18.0,792.0,362.0,824.0,0.0,276.6
9066,4533,30.0,41,30.0,512.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,513.0,2.0,3.0,2.0,19.0,850.0,380.0,887.0,1.0,267.1666666666667
9432,4716,30.0,41,30.0,268.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,521.0,2.0,3.0,2.0,19.0,882.0,395.0,919.0,2.0,240.42857142857142
9892,4946,30.0,92,30.0,1697.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,649.0,2.0,4.0,3.0,20.0,891.0,405.0,932.0,2.0,229.75
10399,5200,30.0,45,2029.0,30.0,2029.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,673.0,2.0,4.0,3.0,21.0,1051.0,460.0,1094.0,2.0,236.55555555555554
10904,5452,30.0,42,30.0,2155.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,823.0,2.0,4.0,5.0,25.0,1207.0,534.0,1263.0,2.0,242.9
11102,5551,30.0,0,30.0,883.0,883.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,876.0,2.0,4.0,5.0,29.0,1345.0,580.0,1401.0,2.0,248.0909090909091
10779,5390,31.0,50,2007.0,31.0,31.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,398.0,0.0,2.0,6.0,12.0,55.0,49.0,80.0,0.0,300.0
11069,5535,31.0,0,2720.0,31.0,31.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,661.0,1.0,2.0,6.0,14.0,167.0,119.0,203.0,0.0,300.0
11206,5603,31.0,1,31.0,3847.0,31.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,1075.0,1.0,5.0,9.0,19.0,259.0,201.0,332.0,1.0,300.0
11404,5702,31.0,13,31.0,380.0,380.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,1246.0,4.0,6.0,9.0,21.0,312.0,241.0,417.0,1.0,300.0
11695,5848,31.0,5,3471.0,31.0,3471.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,1515.0,5.0,7.0,12.0,30.0,359.0,287.0,487.0,1.0,300.0
12025,6013,31.0,16,98.0,31.0,98.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,1896.0,5.0,7.0,14.0,47.0,448.0,342.0,599.0,1.0,300.0
7984,3992,33.0,117,33.0,247.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,12.0,0.0,0.0,0.0,0.0,112.0,45.0,113.0,1.0,300.0
8576,4288,33.0,48,33.0,1108.0,1108.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,112.0,1.0,0.0,0.0,1.0,217.0,92.0,219.0,1.0,209.0
10052,5026,33.0,15,33.0,1613.0,1613.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,150.0,1.0,0.0,1.0,6.0,299.0,121.0,302.0,1.0,239.33333333333334
11738,5869,33.0,1,33.0,977.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,160.0,1.0,0.0,1.0,6.0,310.0,130.0,313.0,2.0,225.75
5269,2635,35.0,121,1920.0,35.0,1920.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,11.0,0.0,44.0
5488,2744,35.0,117,35.0,282.0,35.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,1.0,0.0,0.0,1.0,1.0,237.0,69.0,237.0,0.0,172.0
5822,2911,35.0,55,35.0,2255.0,2255.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,1.0,0.0,0.0,1.0,3.0,283.0,93.0,284.0,0.0,203.66666666666666
2511,1256,36.0,0,3184.0,36.0,3184.0,3.0,0,6,0,187.96,225.0,195.58,0.0,47.73442847364819,39,16,1,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,18.0,0.0,127.0
2723,1362,36.0,75,937.0,36.0,937.0,3.0,0,6,0,187.96,225.0,195.58,0.0,47.73442847364819,39,16,1,1.0,96.0,3.0,2.0,0.0,1.0,79.0,72.0,120.0,0.0,213.5
