fight_stat_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
9211,2.0,5,2694.0,2.0,2694.0,3.0,0,0,0,170.18,155.0,177.8,0.0,31.972621492128678,13,1,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,112.0,93.0,147.0,0.0,300.0
4455,7.0,147,442.0,7.0,7.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,266.57142857142856,0.5714285714285714,0.5714285714285714,1.8571428571428572,2.857142857142857,42.142857142857146,56.714285714285715,75.85714285714286,0.0,175.85714285714286
5744,7.0,4,7.0,1440.0,7.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,252.16666666666666,0.3333333333333333,0.5,2.0,3.1666666666666665,42.166666666666664,48.333333333333336,68.5,0.0,176.0
6145,7.0,121,934.0,7.0,934.0,5.0,1,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,60,0,219.2,0.4,0.0,1.8,3.2,38.6,39.4,59.0,0.0,195.0
7378,7.0,0,7.0,1274.0,1274.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,273.25,0.5,0.0,2.25,4.0,48.0,49.25,73.5,0.0,240.25
8960,7.0,4,7.0,246.0,246.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,182.66666666666666,0.0,0.0,2.0,4.0,56.333333333333336,58.0,85.66666666666667,0.0,220.33333333333334
9266,7.0,112,7.0,1070.0,7.0,3.0,0,7,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,71,0,267.0,0.0,0.0,3.0,5.0,31.5,48.5,64.5,0.0,180.5
9710,7.0,6,7.0,3979.0,3979.0,3.0,0,12,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,60,0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,61.0
10403,11.0,39,1929.0,11.0,1929.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,19,7,120.0,0.5,0.0,0.8333333333333334,3.5,77.16666666666667,62.5,105.83333333333333,0.0,271.8333333333333
11419,11.0,10,1573.0,11.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,19,7,114.8,0.6,0.0,1.0,3.4,86.4,61.0,107.8,0.0,266.2
12050,11.0,43,11.0,268.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,28,0,125.5,0.25,0.0,1.0,3.0,85.75,62.75,110.25,0.0,257.75
12741,11.0,0,1760.0,11.0,1760.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,0,0,167.33333333333334,0.3333333333333333,0.0,1.3333333333333333,4.0,74.0,69.33333333333333,105.33333333333333,0.0,243.66666666666666
13320,11.0,9,11.0,2998.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,2,2,249.0,0.5,0.0,2.0,6.0,110.5,103.5,157.5,0.0,300.0
14219,11.0,4,2583.0,11.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,7,4,90.0,0.0,0.0,1.0,5.0,113.0,96.0,153.0,0.0,300.0
11093,12.0,55,1343.0,12.0,1343.0,3.0,0,9,0,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,19,7,76.14285714285714,0.0,0.14285714285714285,1.0,5.142857142857143,141.0,71.57142857142857,153.42857142857142,0.0,266.2857142857143
11669,12.0,4,4065.0,12.0,4065.0,3.0,0,9,0,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,19,7,84.0,0.0,0.16666666666666666,0.8333333333333334,4.166666666666667,144.66666666666666,71.33333333333333,158.0,0.0,260.6666666666667
