fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country
14436,7218,2976.0,0.0,34.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,664,0,2976.0,2884.0,2884.0,5.0,0,0,0,0,0,2,123,172.72,155.0,180.34,2.0,31.055441478439427,12,3,0,0.0,0,0
14435,7218,2884.0,0.0,42.0,17.0,40.0,16.0,6.0,1.0,0.0,0.0,88.0,664,0,2976.0,2884.0,2884.0,5.0,0,0,0,0,0,2,123,177.8,155.0,177.8,1.0,33.28678986995209,23,2,0,1.0,0,0
14434,7217,1662.0,0.0,59.0,37.0,40.0,23.0,15.0,5.0,1.0,0.0,453.0,664,1,1662.0,2464.0,1662.0,3.0,0,1,0,1,1,3,300,177.8,145.0,177.8,1.0,29.472963723477072,16,2,0,0.0,0,0
14433,7217,2464.0,0.0,72.0,32.0,55.0,18.0,0.0,0.0,0.0,1.0,131.0,664,1,1662.0,2464.0,1662.0,3.0,0,1,0,1,1,3,300,170.18,145.0,180.34,0.0,32.63518138261465,17,7,0,0.0,0,0
14432,7216,981.0,0.0,130.0,90.0,102.0,70.0,1.0,1.0,0.0,0.0,123.0,664,2,981.0,179.0,981.0,3.0,0,2,1,0,2,2,162,167.64,115.0,165.1,0.0,36.90622861054072,17,3,2,0.0,0,0
14431,7216,179.0,0.0,37.0,16.0,32.0,13.0,6.0,1.0,0.0,0.0,169.0,664,2,981.0,179.0,981.0,3.0,0,2,1,0,2,2,162,160.02,115.0,157.48,0.0,38.21492128678987,18,12,0,0.0,0,0
14430,7215,3831.0,0.0,105.0,63.0,80.0,45.0,2.0,1.0,1.0,0.0,210.0,664,3,3831.0,2974.0,3831.0,3.0,0,3,0,2,3,2,272,185.42,170.0,195.58,0.0,29.508555783709788,11,2,0,0.0,0,0
14429,7215,2974.0,0.0,57.0,29.0,51.0,25.0,2.0,0.0,0.0,0.0,33.0,664,3,3831.0,2974.0,3831.0,3.0,0,3,0,2,3,2,272,177.8,170.0,170.18,2.0,27.096509240246405,10,3,0,0.0,0,0
14428,7214,1108.0,0.0,10.0,0.0,9.0,0.0,3.0,2.0,1.0,0.0,118.0,664,0,1108.0,2320.0,2320.0,3.0,0,1,0,2,4,1,192,175.26,145.0,182.88,0.0,28.648870636550306,16,5,0,0.0,0,0
14427,7214,2320.0,0.0,10.0,8.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,664,0,1108.0,2320.0,2320.0,3.0,0,1,0,2,4,1,192,175.26,145.0,175.26,2.0,28.32580424366872,15,6,1,0.0,0,0
14426,7213,3945.0,0.0,95.0,38.0,85.0,33.0,6.0,2.0,2.0,0.0,235.0,664,2,3945.0,2373.0,2373.0,3.0,0,4,0,1,1,3,300,170.18,135.0,172.72,1.0,30.614647501711158,9,2,0,1.0,0,0
14425,7213,2373.0,0.0,104.0,52.0,92.0,43.0,6.0,2.0,0.0,0.0,279.0,664,2,3945.0,2373.0,2373.0,3.0,0,4,0,1,1,3,300,170.18,135.0,167.64,0.0,29.987679671457904,14,2,0,0.0,0,0
14424,7212,1752.0,2.0,178.0,134.0,143.0,104.0,2.0,0.0,0.0,1.0,171.0,664,3,1752.0,3002.0,1752.0,3.0,0,3,0,0,5,3,75,187.96,170.0,190.5,0.0,40.09308692676249,33,15,1,1.0,0,0
14423,7212,3002.0,0.0,110.0,56.0,103.0,51.0,1.0,1.0,0.0,0.0,48.0,664,3,1752.0,3002.0,1752.0,3.0,0,3,0,0,5,3,75,182.88,170.0,187.96,0.0,29.965776865160848,16,8,0,1.0,0,0
14422,7211,1885.0,0.0,60.0,44.0,39.0,28.0,3.0,1.0,0.0,0.0,219.0,664,1,1885.0,3646.0,3646.0,3.0,0,5,0,3,6,1,255,175.26,185.0,185.42,0.0,28.580424366872005,7,3,0,0.0,0,0
14421,7211,3646.0,0.0,5.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,26.0,664,1,1885.0,3646.0,3646.0,3.0,0,5,0,3,6,1,255,182.88,185.0,182.88,0.0,29.859000684462696,9,5,0,0.0,0,0
14420,7210,309.0,0.0,234.0,118.0,191.0,85.0,3.0,1.0,0.0,0.0,187.0,664,3,309.0,3421.0,309.0,3.0,0,6,0,1,1,3,300,187.96,239.0,200.66,0.0,34.98151950718686,11,2,0,0.0,0,0
14419,7210,3421.0,0.0,198.0,100.0,183.0,87.0,0.0,0.0,2.0,0.0,53.0,664,3,309.0,3421.0,309.0,3.0,0,6,0,1,1,3,300,190.5,230.0,198.12,0.0,35.41409993155373,13,10,0,0.0,0,0
14416,7208,249.0,0.0,131.0,78.0,109.0,60.0,3.0,0.0,1.0,0.0,54.0,664,2,249.0,1071.0,1071.0,3.0,0,7,1,1,7,3,300,167.64,135.0,172.72,0.0,25.661875427789184,7,2,0,0.0,0,0
14415,7208,1071.0,0.0,240.0,112.0,182.0,69.0,5.0,3.0,0.0,0.0,291.0,664,2,249.0,1071.0,1071.0,3.0,0,7,1,1,7,3,300,172.72,135.0,172.72,0.0,35.02532511978097,6,0,0,0.0,0,0
14414,7207,2534.0,0.0,356.0,127.0,356.0,127.0,2.0,0.0,0.0,0.0,0.0,663,4,2534.0,3250.0,3250.0,3.0,0,3,0,1,7,3,300,190.5,170.0,205.74,0.0,31.38398357289528,25,10,0,1.0,0,0
14413,7207,3250.0,0.0,190.0,105.0,190.0,105.0,0.0,0.0,0.0,0.0,0.0,663,4,2534.0,3250.0,3250.0,3.0,0,3,0,1,7,3,300,180.34,170.0,185.42,2.0,27.537303216974674,16,2,0,0.0,0,0
14412,7206,946.0,1.0,31.0,19.0,30.0,18.0,0.0,0.0,0.0,0.0,17.0,663,1,946.0,1660.0,946.0,3.0,0,4,0,0,8,1,54,175.26,135.0,170.18,2.0,19.460643394934976,8,1,0,0.0,0,0
14411,7206,1660.0,0.0,19.0,6.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,663,1,946.0,1660.0,946.0,3.0,0,4,0,0,8,1,54,177.8,135.0,187.96,0.0,34.234086242299796,14,4,0,0.0,0,0
14410,7205,23.0,0.0,101.0,36.0,101.0,36.0,0.0,0.0,1.0,0.0,17.0,663,4,23.0,2846.0,23.0,3.0,0,0,0,2,9,2,206,185.42,155.0,195.58,2.0,24.71731690622861,14,1,0,0.0,0,0
14409,7205,2846.0,0.0,82.0,38.0,82.0,38.0,6.0,0.0,0.0,0.0,11.0,663,4,23.0,2846.0,23.0,3.0,0,0,0,2,9,2,206,177.8,155.0,180.34,0.0,34.168377823408626,20,11,0,0.0,0,0
14408,7204,1348.0,0.0,209.0,73.0,208.0,72.0,1.0,0.0,0.0,0.0,7.0,663,5,1348.0,1495.0,1495.0,3.0,0,1,0,1,1,3,300,185.42,145.0,193.04,0.0,27.274469541409992,15,5,0,0.0,0,0
14407,7204,1495.0,0.0,185.0,83.0,184.0,82.0,3.0,0.0,0.0,0.0,0.0,663,5,1348.0,1495.0,1495.0,3.0,0,1,0,1,1,3,300,180.34,145.0,180.34,2.0,32.930869267624914,15,5,1,0.0,0,0
14406,7203,2814.0,1.0,51.0,37.0,31.0,21.0,5.0,5.0,6.0,0.0,389.0,663,0,2814.0,1085.0,2814.0,3.0,0,2,1,2,3,2,218,157.48000000000002,115.0,154.94,0.0,30.548939082819988,11,3,0,0.0,0,0
14405,7203,1085.0,0.0,48.0,34.0,13.0,3.0,1.0,0.0,0.0,0.0,22.0,663,0,2814.0,1085.0,2814.0,3.0,0,2,1,2,3,2,218,160.02,115.0,160.02,0.0,31.301848049281315,7,4,0,0.0,0,0
14404,7202,2181.0,1.0,90.0,54.0,84.0,49.0,0.0,0.0,0.0,0.0,3.0,663,1,2181.0,2929.0,2181.0,3.0,0,5,0,0,10,2,284,182.88,185.0,190.5,1.0,32.89253935660506,12,2,0,0.0,0,0
14403,7202,2929.0,0.0,116.0,38.0,116.0,38.0,5.0,0.0,0.0,0.0,50.0,663,1,2181.0,2929.0,2181.0,3.0,0,5,0,0,10,2,284,193.04,185.0,193.04,0.0,30.190280629705683,11,5,0,0.0,0,0
14402,7201,3389.0,0.0,225.0,116.0,212.0,103.0,1.0,0.0,0.0,0.0,26.0,663,4,3389.0,2400.0,3389.0,3.0,0,8,1,1,1,3,300,165.1,125.0,165.1,0.0,30.288843258042437,11,1,0,0.0,0,0
14401,7201,2400.0,0.0,225.0,95.0,206.0,77.0,10.0,2.0,0.0,0.0,180.0,663,4,3389.0,2400.0,3389.0,3.0,0,8,1,1,1,3,300,170.18,125.0,172.72,0.0,35.06639288158795,9,3,0,0.0,0,0
