fight_stat_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
9211,2.0,0.0,147.0,93.0,112.0,59.0,0.0,0.0,1.0,0.0,0.0,442,5,2694.0,2.0,2694.0,3.0,0,0,0,1,300,170.18,155.0,177.8,0.0,31.972621492128678,13,1,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,112.0,93.0,147.0,0.0,300.0
4455,7.0,0.0,120.0,107.0,42.0,35.0,1.0,1.0,1.0,2.0,353.0,232,147,442.0,7.0,7.0,3.0,0,7,1,0,175,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,353.0,2.0,1.0,1.0,1.0,42.0,107.0,120.0,0.0,175.0
5744,7.0,0.0,116.0,93.0,60.0,40.0,3.0,3.0,3.0,0.0,417.0,291,4,7.0,1440.0,7.0,3.0,0,7,1,0,81,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,770.0,2.0,4.0,4.0,4.0,102.0,200.0,236.0,0.0,128.0
6145,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,309,121,934.0,7.0,934.0,5.0,1,7,1,2,14,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,60,0,773.0,2.0,4.0,4.0,4.0,103.0,200.0,237.0,0.0,90.0
7378,7.0,0.0,37.0,23.0,23.0,11.0,4.0,3.0,0.0,2.0,545.0,362,0,7.0,1274.0,1274.0,3.0,0,7,1,1,300,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,1318.0,4.0,4.0,7.0,8.0,126.0,223.0,274.0,0.0,142.5
8960,7.0,0.0,128.0,77.0,106.0,59.0,2.0,0.0,0.0,0.0,14.0,431,4,7.0,246.0,246.0,3.0,0,7,1,1,300,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,0,0,1332.0,4.0,4.0,7.0,10.0,232.0,300.0,402.0,0.0,174.0
9266,7.0,0.0,123.0,94.0,57.0,33.0,10.0,6.0,0.0,0.0,534.0,444,112,7.0,1070.0,7.0,3.0,0,7,1,1,300,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,71,0,1866.0,4.0,4.0,13.0,20.0,289.0,394.0,525.0,0.0,195.0
9710,7.0,0.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,462,6,7.0,3979.0,3979.0,3.0,0,12,1,0,61,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,60,0,1866.0,4.0,4.0,13.0,20.0,295.0,397.0,531.0,0.0,175.85714285714286
10403,11.0,0.0,96.0,70.0,31.0,10.0,4.0,0.0,0.0,0.0,146.0,491,39,1929.0,11.0,1929.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,19,7,146.0,0.0,0.0,0.0,4.0,31.0,70.0,96.0,0.0,300.0
11419,11.0,0.0,98.0,54.0,89.0,47.0,5.0,1.0,0.0,2.0,72.0,536,10,1573.0,11.0,11.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,19,7,218.0,2.0,0.0,1.0,9.0,120.0,124.0,194.0,0.0,300.0
12050,11.0,0.0,125.0,43.0,121.0,39.0,0.0,0.0,0.0,0.0,0.0,565,43,11.0,268.0,11.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,28,0,218.0,2.0,0.0,1.0,9.0,241.0,167.0,319.0,0.0,300.0
12741,11.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,594,0,1760.0,11.0,1760.0,3.0,0,0,0,2,131,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,0,0,222.0,2.0,0.0,1.0,9.0,242.0,168.0,320.0,0.0,257.75
13320,11.0,0.0,162.0,111.0,108.0,60.0,7.0,3.0,0.0,1.0,408.0,618,9,11.0,2998.0,11.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,2,2,630.0,3.0,0.0,4.0,16.0,350.0,279.0,482.0,0.0,266.2
14219,11.0,0.0,153.0,96.0,113.0,61.0,5.0,1.0,0.0,0.0,90.0,655,4,2583.0,11.0,11.0,3.0,0,0,0,1,300,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,7,4,720.0,3.0,0.0,5.0,21.0,463.0,375.0,635.0,0.0,271.8333333333333
11093,12.0,0.0,126.0,73.0,119.0,66.0,11.0,2.0,0.0,0.0,29.0,521,55,1343.0,12.0,1343.0,3.0,0,9,0,1,300,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,19,7,29.0,0.0,0.0,2.0,11.0,119.0,73.0,126.0,0.0,300.0
11669,12.0,0.0,150.0,74.0,132.0,59.0,3.0,1.0,0.0,0.0,27.0,548,4,4065.0,12.0,4065.0,3.0,0,9,0,1,300,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,19,7,56.0,0.0,0.0,3.0,14.0,251.0,147.0,276.0,0.0,300.0
12124,12.0,0.0,24.0,10.0,24.0,10.0,0.0,0.0,1.0,0.0,12.0,568,5,12.0,1019.0,12.0,3.0,0,9,0,2,122,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,0,0,68.0,0.0,1.0,3.0,14.0,275.0,157.0,300.0,0.0,240.66666666666666
